Model,MSE,RMSE,MAE,R2
KNN,66.2139883957771,8.13719782208698,6.376942167257768,0.7430390065270426
SVM,32.82920286564622,5.729677378844835,3.986882270446175,0.8725975464148339
Random Forest,31.646740170325625,5.625543544434229,4.009032124318754,0.8771864074137837
Gradient Boosting,23.8052810266015,4.879065589495749,3.3992995117574156,0.9076172752812367
